Parameter,Pattern,On-the-fly Update
mapreduce.ifile.readahead.bytes,p,no
mapreduce.input.fileinputformat.list-status.num-threads,p,no
mapreduce.job.dfs.storage.capacity.kill-limit-exceed,p,no
mapreduce.job.encrypted-intermediate-data.buffer.kb,p,no
mapreduce.job.encrypted-intermediate-data-key-size-bits,p,no
mapreduce.job.local-fs.single-disk-limit.check.interval-ms,p,no
mapreduce.job.ubertask.enable,p,no
mapreduce.reduce.skip.proc-count.auto-incr,p,no
mapreduce.shuffle.ssl.file.buffer.size,p,no
mapreduce.shuffle.transferTo.allowed,p,no
mapreduce.task.ping-for-liveliness-check.enabled,p,no
yarn.app.mapreduce.am.job.task.listener.thread-count,p,no
mapreduce.job.maps,p&c&v,no
mapreduce.job.reduces,p&c&v,no
mapreduce.job.running.map.limit,p&c&v,no
mapreduce.job.running.reduce.limit,p&c&v,no
mapreduce.job.speculative.speculative-cap-running-tasks,p&c&v,no
mapreduce.reduce.input.buffer.percent,p&c&v,no
mapreduce.task.io.sort.factor,p&c&v,no
mapreduce.client.libjars.wildcard,p&v,no
mapreduce.job.counters.max,p&v,no
mapreduce.job.local-fs.single-disk-limit.bytes,p&v,no
mapreduce.job.max.split.locations,p&v,no
mapreduce.job.maxtaskfailures.per.tracker,p&v,no
mapreduce.job.maxtaskfailures.per.tracker,p&v,no
mapreduce.job.reducer.preempt.delay.sec,p&v,no
mapreduce.map.cpu.vcores,p&v,no
mapreduce.map.maxattempts,p&v,no
mapreduce.map.speculative,p&v,no
mapreduce.reduce.merge.inmem.threshold,p&v,no
mapreduce.reduce.speculative,p&v,no
mapreduce.shuffle.transfer.buffer.size,p&v,no
mapreduce.task.io.sort.mb,p&v,no
mapreduce.terasort.num.partitions,p&v,no
